sample_id,record_key,title,year,retrieval_outcome,source_locator,review_basis_available,author_decision,author_rationale,decision_owner,decision_status,claim_permission
RS-FC-020,doi:10.1007/s10111-007-0104-x,Core task analysis in accident investigation: analysis of maritime accidents in piloting situations,2009,abstract-recovered,https://doi.org/10.1007/s10111-007-0104-x,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-021,doi:10.1007/s00146-024-01869-4,"Surveying Judges about artificial intelligence: profession, judicial adjudication, and legal principles",2024,abstract-recovered,https://doi.org/10.1007/s00146-024-01869-4,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-022,title:wip human ai interactions in real world complex environments using a comprehensive reinforcement learning framework|year:,WIP: Human-AI interactions in real-world complex environments using a comprehensive reinforcement learning framework,,full-text-recovered,https://alaworkshop2023.github.io/papers/ALA2023_paper_56.pdf,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-023,doi:10.1007/s11245-025-10355-5,A Tale of Two Anthropocentric Abstractions: On the Concept of the “Human” in AI and Environmental Ethics,2026,full-text-recovered,https://doi.org/10.1007/s11245-025-10355-5,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-024,doi:10.1007/s10892-024-09493-6,Artificial Intelligence and the Future of Work: Mapping the Ethical Issues,2024,full-text-recovered,https://doi.org/10.1007/s10892-024-09493-6,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-026,title:coping with unreliable automation content format form in the design of human automation systems|year:2019,Coping with unreliable automation : content/format/form in the design of human-automation systems,2019,full-text-recovered,https://etheses.bham.ac.uk/id/eprint/9085/7/Morar2019PhD_Redacted.pdf,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-027,doi:10.1007/s43681-026-00982-y,A speculative realist typology of AI fairness: an Object-Oriented Onto-Ethics,2026,abstract-recovered,https://doi.org/10.1007/s43681-026-00982-y,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-029,doi:10.1007/978-3-030-02053-8_111,The Organizational Safety Culture Assessment,2018,abstract-recovered,https://doi.org/10.1007/978-3-030-02053-8_111,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-031,title:designing ai for decision making the importance of trust control and explainability within a government agency|year:,"Designing AI for decision making The importance of trust, control and explainability within a government agency",,abstract-recovered,https://umu.diva-portal.org/smash/record.jsf?pid=diva2%3A1890832,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-034,doi:10.1007/978-3-319-15982-9_35,Approaching Human-Robot Interaction with Resilience,2015,abstract-recovered,https://doi.org/10.1007/978-3-319-15982-9_35,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-035,doi:10.1111/dmj.12070,Meaning Innovations with Design Support: Towards Transparency and Sustainability in the IT Field,2021,full-text-recovered,https://doi.org/10.1111/dmj.12070,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-036,doi:10.1080/00140139.2010.489966,Systems-based accident analysis in the led outdoor activity domain: application and evaluation of a risk management framework,2010,abstract-recovered,https://doi.org/10.1080/00140139.2010.489966,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-037,doi:10.1002/mp.12800,Incident learning in radiation oncology: A review.,2018,full-text-recovered,https://doi.org/10.1002/mp.12800,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-038,doi:10.1007/s12369-024-01184-4,Reframing Deception for Human-Centered AI,2024,abstract-recovered,https://doi.org/10.1007/s12369-024-01184-4,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-039,title:data symphony harmonizing the elements of big data and artificial intelligence for enhanced decision making and problem solving|year:,Data Symphony: Harmonizing the Elements of Big Data and Artificial Intelligence for Enhanced Decision-Making and Problem Solving,,full-text-recovered,https://easychair.org/publications/preprint/H8sp/open,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-040,doi:10.1007/s41463-025-00215-0,Moral Judgment in the Age of Artificial Intelligence: How Humans Perceive Ethical Decisions Made by Machines,2025,abstract-recovered,https://doi.org/10.1007/s41463-025-00215-0,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-042,doi:10.48550/arxiv.2402.08080,User Perception of Partially Automated Driving Systems: A Meaningful Human Control Perspective on the Perception among Tesla Users,2024,full-text-recovered,https://doi.org/10.48550/arxiv.2402.08080,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-043,doi:10.1007/s44206-025-00241-3,Addressing Ethical Challenges in Cyberspace Governance: Recommendations for the Digital Sovereignty Era,2026,abstract-recovered,https://doi.org/10.1007/s44206-025-00241-3,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-046,doi:10.1007/s00146-026-02995-x,"Obsolescence without hostility: optimization, uniformity, and the erosion of human meaning in a post-AI world",2026,abstract-recovered,https://doi.org/10.1007/s00146-026-02995-x,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-047,doi:10.1080/15265161.2026.2690941,"Many Hands, But Who Is In Control? Two Types of Control Gaps in Federated Learning for Healthcare",2026,full-text-recovered,https://doi.org/10.1080/15265161.2026.2690941,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-048,doi:10.1016/j.medengphy.2009.09.002,Reducing non-collision injuries in special transportation services by enhanced safety culture.,2010,abstract-recovered,https://doi.org/10.1016/j.medengphy.2009.09.002,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-049,doi:10.1097/01.jom.0000085887.16564.3a,Effects of Firm Size on Risks and Reporting of Elevation Fall Injury in Construction Trades,2003,abstract-recovered,https://doi.org/10.1097/01.jom.0000085887.16564.3a,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-050,doi:10.1038/s41585-020-0375-z,Autonomous surgery in the era of robotic urology: friend or foe of the future surgeon?,2020,abstract-recovered,https://doi.org/10.1038/s41585-020-0375-z,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-051,doi:10.1007/s43681-026-01167-3,From evaluator to principal: the agentic AI literacy framework (AALF) for delegated autonomy,2026,abstract-recovered,https://doi.org/10.1007/s43681-026-01167-3,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-052,doi:10.1109/cai64502.2025.00121,Human Oversight Over Autonomous Task Execution in Sandbox Environments,2025,abstract-recovered,https://doi.org/10.1109/cai64502.2025.00121,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-053,doi:10.1007/s13347-026-01150-0,Digital Vulnerabilities in the Age of AI: A Multi-Level Analysis,2026,full-text-recovered,https://doi.org/10.1007/s13347-026-01150-0,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-054,title:the survey taxonomy and future directions of trustworthy ai a meta decision of strategic decisions|year:2023,"The Survey, Taxonomy, and Future Directions of Trustworthy AI: A Meta Decision of Strategic Decisions",2023,abstract-recovered,https://arxiv.org/abs/2306.00380,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-055,doi:10.1007/978-1-4471-5102-9_100031-1,Surgical Robotics,2020,abstract-recovered,https://doi.org/10.1007/978-1-4471-5102-9_100031-1,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-057,doi:10.1007/978-3-030-22933-7_6,Four Perspectives on What Matters for the Ethics of Automated Vehicles,2019,abstract-recovered,https://doi.org/10.1007/978-3-030-22933-7_6,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-058,title:an evaluation of child protection reform in israel|year:2016,An Evaluation of Child Protection Reform in Israel,2016,abstract-recovered,https://researchonline.lse.ac.uk/134229,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-059,title:la psicologia de la seguretat laboral com a eina imprescindible en la prevenci de riscos laborals|year:2006,LA PSICOLOGIA DE LA SEGURETAT LABORAL COM A EINA IMPRESCINDIBLE EN LA PREVENCIÓ DE RISCOS LABORALS,2006,full-text-recovered,https://roderic.uv.es/rest/api/core/bitstreams/b58c4a36-4007-4e74-b7cc-c0be02c3da82/content,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-060,doi:10.1007/978-3-030-49183-3_16,Allocation of Moral Decision-Making in Human-Agent Teams: A Pattern Approach,2020,full-text-recovered,https://doi.org/10.1007/978-3-030-49183-3_16,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-061,title:working towards a meaningful transition of human control over automated driving systems|year:2018,Working towards a Meaningful Transition of Human Control over Automated Driving Systems,2018,full-text-recovered,https://repository.tudelft.nl/file/File_a30c8388-7bbc-45e3-bb15-56a93280d191?preview=1,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-063,doi:10.1080/08874417.2025.2600955,Socio-Technical Machine Learning - Putting the User in Control,2026,abstract-recovered,https://doi.org/10.1080/08874417.2025.2600955,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-064,doi:10.1007/s00146-025-02588-0,"Dignity, conflict proliferation and responsibility: how not to argue against autonomous weapon systems",2025,abstract-recovered,https://doi.org/10.1007/s00146-025-02588-0,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-065,title:attitudes towards road safety and aberrant behaviour of drivers in pakistan|year:2012,Attitudes towards road safety and aberrant behaviour of drivers in Pakistan,2012,full-text-recovered,https://etheses.whiterose.ac.uk/id/eprint/6765/1/589055.pdf,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-069,doi:10.7562/se2017.7.02.06,USING ABSOLUTE PROBABILITY JUDGEMENT METHOD FOR HUMAN RELIABILITY ASSESSMENT - A CASE STUDY,2017,full-text-recovered,https://doi.org/10.7562/se2017.7.02.06,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-070,doi:10.2139/ssrn.4772956,Governing AI Agents,2024,full-text-recovered,https://doi.org/10.2139/ssrn.4772956,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-071,doi:10.1080/10803548.2006.11076690,Driver Celeration Behavior and the Prediction of Traffic Accidents,2006,abstract-recovered,https://doi.org/10.1080/10803548.2006.11076690,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-072,title:a case study on how the approach to human error guides the incident reporting among nurses in a hospital setting|year:2014,A case study on how the approach to human error guides the incident reporting among nurses in a hospital setting,2014,abstract-recovered,https://www.lunduniversity.lu.se/lup/publication/4318225,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-073,doi:10.1080/1463922x.2017.1414333,"Where are we on driver distraction? Methods, approaches and recommendations",2017,abstract-recovered,https://doi.org/10.1080/1463922x.2017.1414333,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-075,doi:10.1093/bjsw/bcw101,Partnership with Parents in Child Protection: A Systems Approach to Evaluate Reformative Developments in Israel,2017,abstract-recovered,https://doi.org/10.1093/bjsw/bcw101,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-077,title:ai control and unintended consequences the need for meta values|year:,"AI, Control and Unintended Consequences: The Need for Meta-Values",,full-text-recovered,https://pure.tudelft.nl/ws/portalfiles/portal/151937788/2023_ai_control_meta_values.pdf,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-078,doi:10.1080/10447318.2026.2687131,Maintain Preference for Autonomous System or Human-Controlled System? The Influence of Trust Conflict and Algorithm Aversion,2026,abstract-recovered,https://doi.org/10.1080/10447318.2026.2687131,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-079,doi:10.1061/(asce)co.1943-7862.0001114,Rework causation: Emergent theoretical insights and implications for research,2016,full-text-recovered,https://doi.org/10.1061/(asce)co.1943-7862.0001114,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-080,doi:10.1007/s43681-022-00144-w,‘Design-for-responsible’ algorithmic decision-making systems: a question of ethical judgement and human meaningful control,2022,abstract-recovered,https://doi.org/10.1007/s43681-022-00144-w,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-083,title:capacity workload and mental contents exploring the foundations of driver distraction|year:2010,"Capacity, workload and mental contents : exploring the foundations of driver distraction",2010,full-text-recovered,https://jyx.jyu.fi/bitstreams/34f414e4-f3ca-4834-958e-918d158628e7/download,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-085,title:methodological framework for conducting a risk assessment study|year:2009,METHODOLOGICAL FRAMEWORK FOR CONDUCTING A RISK ASSESSMENT STUDY,2009,full-text-recovered,https://www.researchgate.net/publication/242120689_METHODOLOGICAL_FRAMEWORK_FOR_CONDUCTING_A_RISK_ASSESSMENT_STUDY,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-087,doi:10.13031/2013.41957,Management of safety and quality and the relationship with employee decisions in country grain elevators.,2012,abstract-recovered,https://doi.org/10.13031/2013.41957,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-088,doi:10.4236/blr.2026.172032,"Two Years after the Adoption of the EU AI Act (Regulation (EU) 2024/1689, 13 June 2024): Impacts on Legal Practice through Selected Italian Judgments—Stricter Diligence Obligations and the Concept of Pedagogical Damages",2026,full-text-recovered,https://doi.org/10.4236/blr.2026.172032,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-091,title:from human computer interaction to human ai interaction new challenges and opportunities for enabling human centered ai|year:2021,From Human-Computer Interaction to Human-AI Interaction: New Challenges and Opportunities for Enabling Human-Centered AI,2021,abstract-recovered,https://www.semanticscholar.org/paper/977bd3b13f3998bab099d84c22a173d6d2d9303b,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-092,title:holistic approach in engineering design controlling risks from accidental hazards in bridge design|year:2015,Holistic approach in engineering design - controlling risks from accidental hazards in bridge design,2015,full-text-recovered,https://lup.lub.lu.se/record/8052270,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-094,title:characteristics of critical incidents in dynamic positioning|year:2013,Characteristics of critical incidents in dynamic positioning,2013,full-text-recovered,https://www.sintef.no/globalassets/project/hfc/documents/finalmasteroppgave-27.11.pdf,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-096,doi:10.1007/s11668-018-0534-1,"Systems-Based Analysis of China-Tianjin Port Fire and Explosion: A Comparison of HFACS, AcciMap, and STAMP",2018,abstract-recovered,https://doi.org/10.1007/s11668-018-0534-1,title_and_abstract,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-097,doi:10.1007/s00146-021-01246-5,From Blade Runners to Tin Kickers: what the governance of artificial intelligence safety needs to learn from air crash investigators,2021,full-text-recovered,https://doi.org/10.1007/s00146-021-01246-5,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-098,doi:10.1007/s00146-021-01378-8,Unintentional intentionality: art and design in the age of artificial intelligence,2022,full-text-recovered,https://doi.org/10.1007/s00146-021-01378-8,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-099,title:the confluence of big data and artificial intelligence unraveling complex patterns and unveiling novel paradigms for transformative knowledge discovery|year:,The Confluence of Big Data and Artificial Intelligence: Unraveling Complex Patterns and Unveiling Novel Paradigms for Transformative Knowledge Discovery,,full-text-recovered,https://easychair.org/publications/preprint/njvZ/open,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-100,doi:10.4148/npp.15519,Unmanned Aircraft Systems in the Cyber Domain,2019,full-text-recovered,https://doi.org/10.4148/npp.15519,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
RS-FC-101,title:the role of human factors in led outdoor activity accidents literature review and exploratory analysis|year:2009,The role of human factors in led outdoor activity accidents: literature review and exploratory analysis,2009,full-text-recovered,https://outdoorcouncil.asn.au/wp-content/uploads/2016/08/OAI_REPORT_FINAL_VERSION_OCT_15th_2009.pdf,full_text_route,,,Mark Julius Banasihan,pending-author-review,none-until-decision
