record_key,proposed_decision,author_decision,author_notes,review_basis,source_locator,decision_owner,decision_date,ai_assistance
doi:10.47760/oajmr.2026.v02i07.003,exclude-single-component,retain-close,"Defines comprehension, authorization, intervention, contestation, restoration, and responsibility as a weakest-link control chain.",title_and_abstract,https://doi.org/10.47760/oajmr.2026.v02i07.003,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3389/frai.2026.1872783,exclude-single-component,retain-background,Empirically separates formal board responsibility from measured oversight capacity in a 26-person pilot.,title_and_abstract,https://doi.org/10.3389/frai.2026.1872783,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2606.21276,exclude-single-component,retain-close,Maps audit evidence into binding assurance constraints and applies the method retrospectively to the Cruise incident.,title_and_abstract,https://doi.org/10.48550/arxiv.2606.21276,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1609/aaaiss.v8i1.42543,exclude-single-component,retain-close,"Publishes a runnable protocol that maps a decision chain, traces owners and artifacts, and tests rollback and review gates.",official_full_text,https://doi.org/10.1609/aaaiss.v8i1.42543,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.61345/2734-8873.2025.1.7,exclude-single-component,retain-background,"Connects automated social services to human review, reasons, appeal, and record access.",title_and_abstract,https://doi.org/10.61345/2734-8873.2025.1.7,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.52132/ajrsp.e.2026.82.2,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.52132/ajrsp.e.2026.82.2,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1109/ichcai70183.2026.11607563,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1109/ichcai70183.2026.11607563,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.63282/3050-9262.ijaidsml-v7i2p111,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.63282/3050-9262.ijaidsml-v7i2p111,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.65161/recbs86n9llwaeahs,exclude-single-component,retain-background,"Uses contemporary military cases to examine time compression, opacity, and narrowed human validation windows.",title_and_abstract,https://doi.org/10.65161/recbs86n9llwaeahs,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2602.13745,exclude-single-component,retain-background,"Proposes prospective escalation, intervention controls, and review evidence for generated interfaces.",title_and_abstract,https://doi.org/10.48550/arxiv.2602.13745,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.52710/cfs.1036,exclude-single-component,retain-close,"Embeds authority, delegation boundaries, escalation, override, and audit interfaces in the runtime control plane.",title_and_abstract,https://doi.org/10.52710/cfs.1036,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.69849/r0av2z03,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.69849/r0av2z03,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3770855.3818639,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1145/3770855.3818639,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1109/mdm71479.2026.00053,exclude-single-component,retain-background,Shows how operators receive multiple evidence views and decide whether an automated maritime alert warrants action.,title_and_abstract,https://doi.org/10.1109/mdm71479.2026.00053,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1186/s12302-026-01430-8,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1186/s12302-026-01430-8,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2603.01202,exclude-single-component,retain-background,"Documents how operational, psychological, and social conditions shape supervisory capacity in current semi-autonomous driving.",title_and_abstract,https://doi.org/10.48550/arxiv.2603.01202,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2602.23918,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.48550/arxiv.2602.23918,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.51584/ijrias.2026.11060266,exclude-single-component,retain-background,Examines meaningful human engagement and responsibility in contemporary AI-assisted warfare.,title_and_abstract,https://doi.org/10.51584/ijrias.2026.11060266,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3390/automation7030096,exclude-single-component,retain-close,"Defines a versioned assurance case linking claims, assumptions, evidence, control points, and a trace of practical human override.",publisher_full_text,https://doi.org/10.3390/automation7030096,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3770855.3818474,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.1145/3770855.3818474,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3779211.3793169,exclude-single-component,retain-background,Provides a claim-evidence and provenance method for scientific extraction without assessing human practical control.,title_and_abstract,https://doi.org/10.1145/3779211.3793169,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1200/jco.2026.44.16_suppl.e23296,exclude-single-component,retain-background,Reports large-scale structured physician review and observed variation in rejection rates across specialties.,title_and_abstract,https://doi.org/10.1200/jco.2026.44.16_suppl.e23296,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.55516/ijlso.v6i1.309,exclude-single-component,exclude-single-component,"Title and abstract address one relevant control or evidence component without the tested selection, packet, adjudication, and correction path.",title_and_abstract,https://doi.org/10.55516/ijlso.v6i1.309,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3390/app16052611,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.3390/app16052611,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3807513,exclude-single-component,retain-background,"Uses 44 public-authority requests to connect AI adoption with recordkeeping, guidance, training, and hybrid review.",title_and_abstract,https://doi.org/10.1145/3807513,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.58830/ozgur.pub1378,exclude-single-component,retain-background,Supplies human-factors mechanisms and a recent aviation case without an AI-control evidence adjudication method.,title_and_abstract,https://doi.org/10.58830/ozgur.pub1378,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1007/s43681-026-01132-0,exclude-single-component,retain-background,"Defines epistemic, control, temporal, organizational, and information-environment integrity, including fictional oversight.",title_and_abstract,https://doi.org/10.1007/s43681-026-01132-0,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.54941/ahfe1008078,exclude-single-component,retain-close,Defines non-delegable human decision points and reproducible per-step audit artifacts for AI-assisted expert work.,title_and_abstract,https://doi.org/10.54941/ahfe1008078,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3805689.3806741,exclude-single-component,retain-background,"Empirically traces how oversight bodies obtain, interpret, and act on information under structural access limits.",title_and_abstract,https://doi.org/10.1145/3805689.3806741,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2606.17915,exclude-single-component,exclude-topic,Title and abstract concern another application or evaluation task and do not assess practical human control or the tested research-method combination.,title_and_abstract,https://doi.org/10.48550/arxiv.2606.17915,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
title:when ai does the work what is learning for post instrumental learning and the risk of capacity dissolution|year:2026,exclude-single-component,retain-background,"Defines human capacities for end-setting, reason-giving, contestation, revision, and shared responsibility.",title_and_abstract,https://arxiv.org/abs/2607.28041,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
title:when not to automate a formal protocol for human preservation in ai optimized organizations|year:2026,exclude-single-component,retain-background,"Provides a five-gate, auditable automation-decision protocol and a process-level human-anchor condition.",title_and_abstract,https://arxiv.org/abs/2607.15944,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.70175/hclreview.2020.34.2.6,exclude-single-component,retain-background,Connects high-velocity operation to cognitive saturation and continuous oversight architecture.,title_and_abstract,https://doi.org/10.70175/hclreview.2020.34.2.6,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1109/tase.2020.2965466,retain-close,retain-close,Quantifies causal responsibility and shows that allocated human functions can coexist with low causal responsibility.,title_and_abstract,https://doi.org/10.1109/tase.2020.2965466,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3322640.3326699,retain-close,retain-close,"Connects intervention rights to information, practical exercise, and lifecycle contestability.",title_and_abstract,https://doi.org/10.1145/3322640.3326699,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1007/s11023-020-09532-9,retain-close,retain-close,"Joins technical, sociotechnical, and governance control layers in an operational oversight framework.",open_full_text,https://doi.org/10.1007/s11023-020-09532-9,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1007/s00146-023-01777-z,retain-close,retain-close,Treats overseer competence and incentives as institutional design constraints on effective control.,open_full_text,https://doi.org/10.1007/s00146-023-01777-z,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1017/s0963180122000718,retain-close,retain-close,Proposes counterargument prompts as a concrete mechanism for resisting automation complacency.,title_and_abstract,https://doi.org/10.1017/s0963180122000718,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3630106.3659051,retain-close,retain-close,"Defines effective oversight through causal power, epistemic access, self-control, and fitting intentions.",official_full_text,https://doi.org/10.1145/3630106.3659051,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.4230/dagrep.15.6.189,retain-close,retain-close,"Synthesizes conceptual, technical, legal, and organizational conditions for human oversight.",official_report_full_text,https://doi.org/10.4230/dagrep.15.6.189,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1007/s00146-025-02401-y,retain-close,retain-close,Models stable and adaptive feedback loops through which human learning supports continuing control.,open_full_text,https://doi.org/10.1007/s00146-025-02401-y,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1109/facct71761.2026.00009,retain-close,retain-close,"Links typed claims to evidence, deterministic validation, and provenance before entry into an official record.",title_and_abstract,https://doi.org/10.1109/facct71761.2026.00009,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.48550/arxiv.2603.19213,retain-close,retain-close,Separates constitutive participation from corrective intervention through a causal runtime taxonomy.,title_and_abstract,https://doi.org/10.48550/arxiv.2603.19213,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.1145/3805689.3812402,retain-close,retain-close,Reports four forms of contemporary agent-oversight work from interviews with 17 experienced developers.,title_and_abstract,https://doi.org/10.1145/3805689.3812402,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
doi:10.3390/info17070694,retain-close,retain-close,"Joins selective human review, escalation, durable records, and measured audit completeness in a synthetic decision pathway.",title_and_abstract,https://doi.org/10.3390/info17070694,Mark Julius Banasihan,2026-08-10,AI-assisted title-and-abstract screening under author authorization; the author retains decision accountability
