record_key,proposed_decision,author_decision,author_notes,title,year,doi,arxiv,venue,origins,proposal_reason
doi:10.36713/epra27861,exclude-single-component,,,A REVIEW OF METHODS AND STANDARDS IN ENSURING RELIABILITY OF CLINICAL DATA AND CLINICAL DATA ABSTRACTION AND THEIR IMPLICATION IN U.S HEALTHCARE SYSTEM,2026,10.36713/epra27861,,EPRA international journal of multidisciplinary research,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['assurance', 'missingness']"
doi:10.2118/230731-ms,exclude-single-component,,,A Technical Perspective to Human Oversight in Complex Drilling Automation Systems Based on Artificial Intelligence Methods,2026,10.2118/230731-ms,,IADC/SPE International Drilling Conference and Exhibition,citation:L10,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.48550/arxiv.2606.09414,exclude-single-component,,,AI Assurance in UK Defence: Challenges in Operationalising JSP 936,2026,10.48550/arxiv.2606.09414,2606.09414,arXiv.org,citation:L17,"term overlap requires author check; control=['human oversight'], evidence=['assurance', 'evidence']"
doi:10.54941/ahfe1007175,exclude-single-component,,,Adaptive Autonomy in the Air Force: Testbed for Human-AI Collaboration,2026,10.54941/ahfe1007175,,AHFE International,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.14569/ijacsa.2026.0170502,exclude-single-component,,,Agentic Accountability: “The Buck Stops Where?” Ethical Frameworks for Human Oversight of Autonomous AI Systems,2026,10.14569/ijacsa.2026.0170502,,International Journal of Advanced Computer Science and Applications,citation:L01,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'incident']"
doi:10.3390/laws15040060,exclude-single-component,,,Algorithmic Tax Justice in Peru,2026,10.3390/laws15040060,,Laws,citation:L10,"term overlap requires author check; control=['contestability', 'human oversight'], evidence=['audit', 'evidence', 'traceability']"
doi:10.1007/s12672-026-05573-1,exclude-single-component,,,An evidence informed framework for artificial intelligence in rare breast cancers using small cohort validation synthetic data practices and clinical governance,2026,10.1007/s12672-026-05573-1,,Discover Oncology,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence', 'provenance']"
doi:10.5603/cj.111624,exclude-single-component,,,Artificial intelligence as the missing integrator in heart failure care — from remote monitoring to personalized therapy,2026,10.5603/cj.111624,,Cardiology Journal,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.1055/a-2793-9092,exclude-single-component,,,Assessing the Reliability of Large Language Models for Evaluation of Risk of Bias in Randomized Clinical Trials,2026,10.1055/a-2793-9092,,American Journal of Perinatology,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.52783/jisem.v11i3s.14705,exclude-single-component,,,Attentional Governance in Human-AI Decision Systems: A Technical Architecture for Judgment Integrity,2026,10.52783/jisem.v11i3s.14705,,Journal of Information Systems Engineering & Management,query:F04,"term overlap requires author check; control=['human authority'], evidence=['traceability']"
doi:10.1145/3805689.3812223,exclude-single-component,,,Auditing a Robotic System for the AI Act,2026,10.1145/3805689.3812223,,"Conference on Fairness, Accountability and Transparency",citation:L27,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'evidence']"
doi:10.48550/arxiv.2605.16354,exclude-single-component,,,Augmenting Human Evaluation with LLM Judges: How Many Human Reviews Do You Need?,2026,10.48550/arxiv.2605.16354,2605.16354,arXiv.org,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['missingness']"
doi:10.48550/arxiv.2601.03287,exclude-single-component,,,Automated Post-Incident Policy Gap Analysis via Threat-Informed Evidence Mapping using Large Language Models,2026,10.48550/arxiv.2601.03287,2601.03287,arXiv.org,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'evidence', 'incident']"
doi:10.1186/s12910-026-01493-5,exclude-single-component,,,"Automating genomic reanalysis: perspectives of people living with, or impacted by, a genetic, rare or undiagnosed condition",2026,10.1186/s12910-026-01493-5,,BMC Medical Ethics,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['assurance']"
doi:10.63550/iceip.2026.55.89.005,exclude-single-component,,,Automation of Decision-Making in Guardianship Authorities and the Ethics of Computational Management,2026,10.63550/iceip.2026.55.89.005,,"International Scientific and Practical Conference ""International Forum on GIS, Digital Economy and Sustainable Development""",query:F02,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.33327/ajee-18-9.1-a000182,exclude-single-component,,,Autonomous Weapons Systems and Emerging Technologies: Legal Regulation Challenges for Nuclear Disarmament Verification,2026,10.33327/ajee-18-9.1-a000182,,Access to Justice in Eastern Europe,query:F01,"term overlap requires author check; control=['contestability', 'human control', 'meaningful human control'], evidence=['audit', 'evidence']"
doi:10.3390/healthcare14121638,exclude-single-component,,,Beyond Algorithmic Oversight: Internal Morality of Medicine and Meaningful Human Control in AI-Assisted Care,2026,10.3390/healthcare14121638,,Healthcare,citation:L01,"term overlap requires author check; control=['human control', 'human oversight', 'meaningful human control'], evidence=['traceability']"
doi:10.47760/oajmr.2026.v02i07.003,exclude-single-component,,,Beyond Human Oversight: Cognitive Sovereignty in Global Governance Frameworks for Agentic Artificial Intelligence,2026,10.47760/oajmr.2026.v02i07.003,,Open Access Journal of Multidisciplinary Research,query:F01,"term overlap requires author check; control=['contestability', 'human control', 'human oversight'], evidence=['audit']"
doi:10.3389/frai.2026.1872783,exclude-single-component,,,Board-level AI literacy as a missing governance capability: a pilot study of boards and executives,2026,10.3389/frai.2026.1872783,,Frontiers in Artificial Intelligence,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.48550/arxiv.2606.21276,exclude-single-component,,,"CEDAR-42001: From ISO/IEC 42001 Conformity to Architecture-Aware, Audit-Visible Assurance Posture for AI Cyber-Physical Systems",2026,10.48550/arxiv.2606.21276,2606.21276,arXiv.org,citation:L27,"term overlap requires author check; control=['human oversight'], evidence=['assurance', 'audit', 'evidence']"
doi:10.1609/aaaiss.v8i1.42543,exclude-single-component,,,Conflict as Telemetry for Illegible AI: Governing LLM Agent Workflows (Extended Abstract),2026,10.1609/aaaiss.v8i1.42543,,AAAI Spring Symposia,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'incident']"
doi:10.61345/2734-8873.2025.1.7,exclude-single-component,,,Electronic administrative services in the social sphere,2026,10.61345/2734-8873.2025.1.7,,European Socio-Legal &amp; Humanitarian Studies,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.52132/ajrsp.e.2026.82.2,exclude-single-component,,,Ethical Considerations of Artificial Intelligence Applications in Recruitment Processes (An Analytical Study),2026,10.52132/ajrsp.e.2026.82.2,,Academic Journal of Research and Scientific Publishing,query:F02,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.1109/ichcai70183.2026.11607563,exclude-single-component,,,Explainability-Oriented Semantic Validation for Digital Product Passports in Industrial Systems,2026,10.1109/ichcai70183.2026.11607563,,2026 1st International Conference on Human Centric Artificial Intelligence (ICHCAI),query:F08,"term overlap requires author check; control=['human oversight'], evidence=['assurance', 'provenance', 'traceable']"
doi:10.63282/3050-9262.ijaidsml-v7i2p111,exclude-single-component,,,False Positive & False Negative Mitigation in ML-Based Threat Detection,2026,10.63282/3050-9262.ijaidsml-v7i2p111,,"International Journal of Artificial Intelligence, Data Science, and Machine Learning",query:F08,"term overlap requires author check; control=['human oversight'], evidence=['incident']"
doi:10.65161/recbs86n9llwaeahs,exclude-single-component,,,Governing the Algorithm: How AI Transforms National Security in a Multipolar World,2026,10.65161/recbs86n9llwaeahs,,Oxford Journal of Student Scholarship,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence', 'incident']"
doi:10.48550/arxiv.2602.13745,exclude-single-component,,,Human Oversight-by-Design for Accessible Generative IUIs,2026,10.48550/arxiv.2602.13745,2602.13745,arXiv.org,citation:L10,"term overlap requires author check; control=['human intervention', 'human oversight'], evidence=['audit', 'evidence', 'traceable']"
doi:10.52710/cfs.1036,exclude-single-component,,,Human-Governed Automation Loops: Embedding Human Authority in AI System Architecture,2026,10.52710/cfs.1036,,Computer fraud & security,query:F04,"term overlap requires author check; control=['human authority', 'human oversight'], evidence=['audit']"
doi:10.69849/r0av2z03,exclude-single-component,,,"Inteligência artificial na Polícia Militar do Pará: desafios éticos, legais e de transparência algorítmica",2026,10.69849/r0av2z03,,Revista ft,query:F02,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.1145/3770855.3818639,exclude-single-component,,,KDD AI reasoning day,2026,10.1145/3770855.3818639,,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.1109/mdm71479.2026.00053,exclude-single-component,,,LOMAD: Local Anomaly Detection in Maritime Trajectories Using LSTM Prediction and Visual Analytics,2026,10.1109/mdm71479.2026.00053,,International Conference on Mobile Data Management,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.1186/s12302-026-01430-8,exclude-single-component,,,"Machine learning for water quality management: a systematic review of prediction models, data challenges, and future directions",2026,10.1186/s12302-026-01430-8,,Environmental Sciences Europe,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['reconstruction']"
doi:10.48550/arxiv.2603.01202,exclude-single-component,,,Opportunities and Challenges of Operating Semi-Autonomous Vehicles: A Layered Vulnerability Perspective,2026,10.48550/arxiv.2603.01202,2603.01202,arXiv.org,citation:L01; citation:L17; query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.48550/arxiv.2602.23918,exclude-single-component,,,"Personal Data as a Human Right: A New Social Contract Based on Data Sovereignty, Human Dignity and Data Personalism",2026,10.48550/arxiv.2602.23918,2602.23918,arXiv.org,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['audit']"
doi:10.51584/ijrias.2026.11060266,exclude-single-component,,,Regulating Artificial Intelligence in Modern Warfare: Challenges for International Humanitarian Law,2026,10.51584/ijrias.2026.11060266,,International journal  of research and innovation in applied science,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.3390/automation7030096,exclude-single-component,,,Rights-Based AI in Cyber–Physical Systems: A Governance Framework for Socio-Technical Resilience and Trust,2026,10.3390/automation7030096,,Automation,citation:L10,"term overlap requires author check; control=['contestability'], evidence=['assurance', 'audit', 'evidence']"
doi:10.1145/3770855.3818474,exclude-single-component,,,Safety-Constrained Classification under Extreme Imbalance: Application to Payment Filtering,2026,10.1145/3770855.3818474,,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'evidence', 'provenance']"
doi:10.1145/3779211.3793169,exclude-single-component,,,SciGraph-LLM: Automatic Knowledge Graph Construction from Scientific Papers,2026,10.1145/3779211.3793169,,WSDM Companion,query:F07,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'evidence', 'provenance']"
doi:10.1200/jco.2026.44.16_suppl.e23296,exclude-single-component,,,Structured oncologist appraisal of AI-generated clinical literature summaries.,2026,10.1200/jco.2026.44.16_suppl.e23296,,Journal of Clinical Oncology,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.55516/ijlso.v6i1.309,exclude-single-component,,,THE IMPACT OF ARTIFICIAL INTELLIGENCE IN THE CONCLUSION OF THE PLEA AGREEMENT,2026,10.55516/ijlso.v6i1.309,,International Journal of Legal and Social Order,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['audit', 'evidence']"
doi:10.3390/app16052611,exclude-single-component,,,"The Convergence of Federated Learning, Knowledge Graphs, and Large Language Models for Language Learning: A Scoping Review",2026,10.3390/app16052611,,Applied Sciences,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['evidence']"
doi:10.1145/3807513,exclude-single-component,,,The Implementation Gap: A Socio-Technical Analysis of AI-Assisted Redaction Adoption in UK Public Authorities,2026,10.1145/3807513,,Digit. Gov. Res. Pract.,citation:L10,"term overlap requires author check; control=['human oversight'], evidence=['evidence', 'recordkeeping']"
doi:10.58830/ozgur.pub1378,exclude-single-component,,,The Role of Cognitive Processes in Air Traffic Control: Theory and Practice,2026,10.58830/ozgur.pub1378,,,query:F01,"term overlap requires author check; control=['human control', 'meaningful human control'], evidence=['evidence']"
doi:10.1007/s43681-026-01132-0,exclude-single-component,,,The safety failures we are not instrumenting: a perspective on hidden safety-critical challenges in modern AI systems,2026,10.1007/s43681-026-01132-0,2607.19292,AI and Ethics,citation:L01,"term overlap requires author check; control=['human oversight'], evidence=['audit', 'evidence']"
doi:10.54941/ahfe1008078,exclude-single-component,,,To boldly go where AI must not go alone: Designing for non-delegable human authority in AI-assisted expert work,2026,10.54941/ahfe1008078,,AHFE International,query:F02,"term overlap requires author check; control=['human authority', 'human oversight'], evidence=['audit']"
doi:10.1145/3805689.3806741,exclude-single-component,,,"Transparency and Digital Governance: How Oversight Bodies Access Information, What Hinders Them, and How They Respond",2026,10.1145/3805689.3806741,,"Conference on Fairness, Accountability and Transparency",citation:L10,"term overlap requires author check; control=['effective oversight'], evidence=['audit']"
doi:10.48550/arxiv.2606.17915,exclude-single-component,,,"Trustworthy Self-Composable Big-Data-as-a-Service: An LLM-Orchestrated Multi-Agent Framework for Automated Data Engineering, AutoML, MLOps Deployment, and Drift-Aware Lifecycle Optimization",2026,10.48550/arxiv.2606.17915,2606.17915,arXiv.org,query:F08,"term overlap requires author check; control=['human oversight'], evidence=['traceability']"
title:when ai does the work what is learning for post instrumental learning and the risk of capacity dissolution|year:2026,exclude-single-component,,,"When AI Does the Work, What Is Learning For? Post-Instrumental Learning and the Risk of Capacity Dissolution",2026,,2607.28041,,citation:L01,"term overlap requires author check; control=['contestability'], evidence=['evidence']"
title:when not to automate a formal protocol for human preservation in ai optimized organizations|year:2026,exclude-single-component,,,When Not to Automate: A Formal Protocol for Human Preservation in AI-Optimized Organizations,2026,,2607.15944,,citation:L10,"term overlap requires author check; control=['human oversight'], evidence=['audit']"
doi:10.70175/hclreview.2020.34.2.6,exclude-single-component,,,When the Loop Becomes the System: Rethinking Human Control in High-Velocity AI Environments,2026,10.70175/hclreview.2020.34.2.6,,Human Capital Leadership Review,query:F01,"term overlap requires author check; control=['human control', 'human oversight', 'meaningful human control'], evidence=['assurance']"
doi:10.1109/tase.2020.2965466,retain-close,,,The Responsibility Quantification Model of Human Interaction With Automation,2018,10.1109/tase.2020.2965466,1810.12644,IEEE Transactions on Automation Science and Engineering,citation:L01; reference:L02,quantifies causal responsibility under human-automation function allocation
doi:10.1145/3322640.3326699,retain-close,,,Human intervention in automated decision-making: Toward the construction of contestable systems,2019,10.1145/3322640.3326699,,International Conference on Artificial Intelligence and Law,reference:L04; reference:L06,connects human intervention to information and contestability
doi:10.1007/s11023-020-09532-9,retain-close,,,Accountability and Control Over Autonomous Weapon Systems: A Framework for Comprehensive Human Oversight,2020,10.1007/s11023-020-09532-9,,Minds and Machines,citation:L01; reference:L04,"joins technical, sociotechnical, and governance control layers"
doi:10.1007/s00146-023-01777-z,retain-close,,,Institutionalised distrust and human oversight of artificial intelligence: towards a democratic design of AI governance under the European Union AI Act,2023,10.1007/s00146-023-01777-z,,Ai & Society,citation:L10; reference:L26; reference:L28,develops institutional design principles around the fallibility of overseers
doi:10.1017/s0963180122000718,retain-close,,,Reflection Machines: Supporting Effective Human Oversight Over Medical Decision Support Systems.,2023,10.1017/s0963180122000718,,Cambridge Quarterly of Healthcare Ethics,citation:L01,tests a design intervention intended to support effective oversight
doi:10.1145/3630106.3659051,retain-close,,,On the Quest for Effectiveness in Human Oversight: Interdisciplinary Perspectives,2024,10.1145/3630106.3659051,2404.04059,"Conference on Fairness, Accountability and Transparency",citation:L10; reference:L25; reference:L26; reference:L28,"defines effective oversight through causal power, epistemic access, self-control, and fitting intentions"
doi:10.4230/dagrep.15.6.189,retain-close,,,Challenges of Human Oversight: Achieving Human Control of AI-Based Systems (Dagstuhl Seminar 25272),2025,10.4230/dagrep.15.6.189,,Dagstuhl Reports,reference:L28,"synthesizes epistemic access, causal power, intention, and organizational conditions"
doi:10.1007/s00146-025-02401-y,retain-close,,,What it takes to control AI by design: human learning,2025,10.1007/s00146-025-02401-y,,Ai & Society,citation:L01; citation:L02,treats human learning as a condition for stable and adaptive control
doi:10.1109/facct71761.2026.00009,retain-close,,,Compliance-by-Construction Argument Graphs: Using Generative AI to Produce Evidence-Linked Formal Arguments for Certification-Grade Accountability,2026,10.1109/facct71761.2026.00009,2604.04103,"Conference on Fairness, Accountability and Transparency",query:F06,formalizes evidence-linked claims and machine-checkable argument validation
doi:10.48550/arxiv.2603.19213,retain-close,,,Constitutive vs. Corrective: A Causal Taxonomy of Human Runtime Involvement in AI Systems,2026,10.48550/arxiv.2603.19213,2603.19213,arXiv.org,citation:L01; citation:L26,separates constitutive and corrective runtime involvement
doi:10.1145/3805689.3812402,retain-close,,,"Human oversight of agentic systems in practice: Examining the oversight work, challenges, and heuristics of developers using software agents",2026,10.1145/3805689.3812402,2606.05391,"Conference on Fairness, Accountability and Transparency",citation:L01; citation:L02; citation:L10; citation:L25,"reports developer oversight work, constraints, and heuristics for software agents"
doi:10.3390/info17070694,retain-close,,,Operationalizing Accountable AI Through Traceable Governance Architecture for Institutional Decision Support,2026,10.3390/info17070694,,Information,citation:L10,joins selective human review with structured case-level audit records
