sample_id,record_key,title,year,author_decision,author_rationale,review_basis_used,source_locator,decision_owner,decision_date,ai_assistance,decision_status,claim_permission
RS-FC-020,doi:10.1007/s10111-007-0104-x,Core task analysis in accident investigation: analysis of maritime accidents in piloting situations,2009,retain-close,"The article develops a core-task accident-analysis method and applies case-by-case, comparative, and synthesis stages to official maritime investigations, directly addressing incident reconstruction.",title_and_abstract,https://doi.org/10.1007/s10111-007-0104-x,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-021,doi:10.1007/s00146-024-01869-4,"Surveying Judges about artificial intelligence: profession, judicial adjudication, and legal principles",2024,exclude-single-component,"The survey describes judges' views of AI-assisted adjudication, but it does not establish an intervention chain or a source-adjudication method.",title_and_abstract,https://doi.org/10.1007/s00146-024-01869-4,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-022,title:wip human ai interactions in real world complex environments using a comprehensive reinforcement learning framework|year:,WIP: Human-AI interactions in real-world complex environments using a comprehensive reinforcement learning framework,,exclude-single-component,"The reinforcement-learning framework models complex human-AI interaction without testing formal authority, practical intervention, or public-incident evidence.",title_abstract_and_full_text_route,https://alaworkshop2023.github.io/papers/ALA2023_paper_56.pdf,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-023,doi:10.1007/s11245-025-10355-5,A Tale of Two Anthropocentric Abstractions: On the Concept of the “Human” in AI and Environmental Ethics,2026,exclude-topic,The article critiques the concept of the human across AI and environmental ethics and does not assess practical control or incident reconstruction.,title_abstract_and_full_text_route,https://doi.org/10.1007/s11245-025-10355-5,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-024,doi:10.1007/s10892-024-09493-6,Artificial Intelligence and the Future of Work: Mapping the Ethical Issues,2024,exclude-topic,"The article maps broad ethical issues in AI and work without a specific control, evidence, or incident-analysis mechanism for this paper.",title_abstract_and_full_text_route,https://doi.org/10.1007/s10892-024-09493-6,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-026,title:coping with unreliable automation content format form in the design of human automation systems|year:2019,Coping with unreliable automation : content/format/form in the design of human-automation systems,2019,retain-background,"The thesis studies how display content, format, and form affect detection and response under unreliable automation, informing information access, comprehension, and opportunity to intervene.",title_abstract_and_full_text_route,https://etheses.bham.ac.uk/id/eprint/9085/7/Morar2019PhD_Redacted.pdf,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-027,doi:10.1007/s43681-026-00982-y,A speculative realist typology of AI fairness: an Object-Oriented Onto-Ethics,2026,exclude-topic,"The article proposes an ontology of AI fairness rather than evaluating human control, incident reconstruction, or evidence traceability.",title_and_abstract,https://doi.org/10.1007/s43681-026-00982-y,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-029,doi:10.1007/978-3-030-02053-8_111,The Organizational Safety Culture Assessment,2018,retain-background,"The assessment addresses organizational safety culture, a condition that can shape reporting and challenge behavior, without supplying the paper's incident-control procedure.",title_and_abstract,https://doi.org/10.1007/978-3-030-02053-8_111,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-031,title:designing ai for decision making the importance of trust control and explainability within a government agency|year:,"Designing AI for decision making The importance of trust, control and explainability within a government agency",,retain-background,"The government-agency design study reports user needs for understandable explanations, workflow-specific information, and preserved human judgment, informing comprehension and control conditions.",title_and_abstract,https://umu.diva-portal.org/smash/record.jsf?pid=diva2%3A1890832,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-034,doi:10.1007/978-3-319-15982-9_35,Approaching Human-Robot Interaction with Resilience,2015,exclude-single-component,The chapter applies resilience concepts to human-robot interaction but does not reconstruct practical control or adjudicate public evidence.,title_and_abstract,https://doi.org/10.1007/978-3-319-15982-9_35,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-035,doi:10.1111/dmj.12070,Meaning Innovations with Design Support: Towards Transparency and Sustainability in the IT Field,2021,exclude-topic,"The IT-design paper concerns meaning innovation, transparency, and sustainability without a practical-control or incident-evidence assessment.",title_abstract_and_full_text_route,https://doi.org/10.1111/dmj.12070,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-036,doi:10.1080/00140139.2010.489966,Systems-based accident analysis in the led outdoor activity domain: application and evaluation of a risk management framework,2010,retain-close,"The paper applies and evaluates a systems accident-analysis framework in a bounded safety domain, directly informing the reconstruction method and system-level causal scope.",title_and_abstract,https://doi.org/10.1080/00140139.2010.489966,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-037,doi:10.1002/mp.12800,Incident learning in radiation oncology: A review.,2018,retain-background,"The review describes incident-reporting, event handling, root-cause analysis, feedback, and shared learning systems, supplying an institutional evidence-preservation comparison.",title_abstract_and_full_text_route,https://doi.org/10.1002/mp.12800,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-038,doi:10.1007/s12369-024-01184-4,Reframing Deception for Human-Centered AI,2024,exclude-topic,The article reframes deception in human-centered AI and does not assess intervention capacity or public-incident evidence.,title_and_abstract,https://doi.org/10.1007/s12369-024-01184-4,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-039,title:data symphony harmonizing the elements of big data and artificial intelligence for enhanced decision making and problem solving|year:,Data Symphony: Harmonizing the Elements of Big Data and Artificial Intelligence for Enhanced Decision-Making and Problem Solving,,exclude-topic,The preprint concerns combining big data and AI for decision support rather than human-control evidence or incident reconstruction.,title_abstract_and_full_text_route,https://easychair.org/publications/preprint/H8sp/open,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-040,doi:10.1007/s41463-025-00215-0,Moral Judgment in the Age of Artificial Intelligence: How Humans Perceive Ethical Decisions Made by Machines,2025,exclude-single-component,"The study examines perceptions of machine moral judgments, which informs attribution attitudes but does not test actual authority or intervention effects.",title_and_abstract,https://doi.org/10.1007/s41463-025-00215-0,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-042,doi:10.48550/arxiv.2402.08080,User Perception of Partially Automated Driving Systems: A Meaningful Human Control Perspective on the Perception among Tesla Users,2024,retain-close,"The study compares meaningful-human-control tracking conditions with Tesla users' reported safety and trust, directly testing a practical-control concept against user evidence.",title_abstract_and_full_text_route,https://doi.org/10.48550/arxiv.2402.08080,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-043,doi:10.1007/s44206-025-00241-3,Addressing Ethical Challenges in Cyberspace Governance: Recommendations for the Digital Sovereignty Era,2026,exclude-topic,The article offers broad cyberspace-governance recommendations without a specific practical-control chain or incident-evidence procedure.,title_and_abstract,https://doi.org/10.1007/s44206-025-00241-3,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-046,doi:10.1007/s00146-026-02995-x,"Obsolescence without hostility: optimization, uniformity, and the erosion of human meaning in a post-AI world",2026,exclude-topic,"The article concerns optimization and human meaning in a post-AI society, not operational human control or incident reconstruction.",title_and_abstract,https://doi.org/10.1007/s00146-026-02995-x,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-047,doi:10.1080/15265161.2026.2690941,"Many Hands, But Who Is In Control? Two Types of Control Gaps in Federated Learning for Healthcare",2026,retain-close,"The article distinguishes control gaps within distributed healthcare AI responsibility, directly addressing when multiple accountable actors do not amount to effective control.",title_abstract_and_full_text_route,https://doi.org/10.1080/15265161.2026.2690941,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-048,doi:10.1016/j.medengphy.2009.09.002,Reducing non-collision injuries in special transportation services by enhanced safety culture.,2010,exclude-single-component,The transportation study links safety culture to passenger injury prevention but does not assess automation intervention or evidence adjudication.,title_and_abstract,https://doi.org/10.1016/j.medengphy.2009.09.002,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-049,doi:10.1097/01.jom.0000085887.16564.3a,Effects of Firm Size on Risks and Reporting of Elevation Fall Injury in Construction Trades,2003,exclude-single-component,"The construction study examines firm size, injury risk, and reporting behavior; reporting is relevant to missingness, but the source does not test the paper's control mechanism.",title_and_abstract,https://doi.org/10.1097/01.jom.0000085887.16564.3a,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-050,doi:10.1038/s41585-020-0375-z,Autonomous surgery in the era of robotic urology: friend or foe of the future surgeon?,2020,retain-background,"The review considers autonomy, surgeon roles, and responsibility in robotic surgery, providing a high-stakes domain comparison without a control-chain assessment.",title_and_abstract,https://doi.org/10.1038/s41585-020-0375-z,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-051,doi:10.1007/s43681-026-01167-3,From evaluator to principal: the agentic AI literacy framework (AALF) for delegated autonomy,2026,retain-close,"The framework treats users as principals who delegate agency and maps incidents to competencies, autonomy, and meaningful control, directly addressing whether oversight roles are exercisable.",title_and_abstract,https://doi.org/10.1007/s43681-026-01167-3,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-052,doi:10.1109/cai64502.2025.00121,Human Oversight Over Autonomous Task Execution in Sandbox Environments,2025,retain-close,"The study compares direct manipulation and text guidance for intervening in autonomous task execution, directly examining practical oversight modalities and error correction.",title_and_abstract,https://doi.org/10.1109/cai64502.2025.00121,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-053,doi:10.1007/s13347-026-01150-0,Digital Vulnerabilities in the Age of AI: A Multi-Level Analysis,2026,exclude-topic,The article provides a multilevel analysis of digital vulnerability without a bounded human-control or incident-evidence procedure.,title_abstract_and_full_text_route,https://doi.org/10.1007/s13347-026-01150-0,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-054,title:the survey taxonomy and future directions of trustworthy ai a meta decision of strategic decisions|year:2023,"The Survey, Taxonomy, and Future Directions of Trustworthy AI: A Meta Decision of Strategic Decisions",2023,retain-background,The trustworthy-AI survey supplies a taxonomy of strategic decisions and governance concerns but does not test practical human control or case reconstruction.,title_and_abstract,https://arxiv.org/abs/2306.00380,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-055,doi:10.1007/978-1-4471-5102-9_100031-1,Surgical Robotics,2020,exclude-topic,The surgical-robotics reference entry concerns the clinical technology and does not supply a control or evidence-assessment mechanism.,title_and_abstract,https://doi.org/10.1007/978-1-4471-5102-9_100031-1,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-057,doi:10.1007/978-3-030-22933-7_6,Four Perspectives on What Matters for the Ethics of Automated Vehicles,2019,retain-background,"The chapter organizes ethical perspectives on automated vehicles, including responsibility and control questions, without the paper's evidence-state procedure.",title_and_abstract,https://doi.org/10.1007/978-3-030-22933-7_6,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-058,title:an evaluation of child protection reform in israel|year:2016,An Evaluation of Child Protection Reform in Israel,2016,exclude-topic,The dissertation evaluates child-protection reform and does not address automated control or incident reconstruction.,title_and_abstract,https://researchonline.lse.ac.uk/134229,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-059,title:la psicologia de la seguretat laboral com a eina imprescindible en la prevenci de riscos laborals|year:2006,LA PSICOLOGIA DE LA SEGURETAT LABORAL COM A EINA IMPRESCINDIBLE EN LA PREVENCIÓ DE RISCOS LABORALS,2006,exclude-topic,The occupational-safety psychology work concerns workplace risk prevention without an automation-control or public-evidence mechanism.,title_abstract_and_full_text_route,https://roderic.uv.es/rest/api/core/bitstreams/b58c4a36-4007-4e74-b7cc-c0be02c3da82/content,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-060,doi:10.1007/978-3-030-49183-3_16,Allocation of Moral Decision-Making in Human-Agent Teams: A Pattern Approach,2020,retain-close,"The paper formalizes dynamic allocation and reallocation of morally significant tasks in human-agent teams, directly addressing how control can move between actors.",title_abstract_and_full_text_route,https://doi.org/10.1007/978-3-030-49183-3_16,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-061,title:working towards a meaningful transition of human control over automated driving systems|year:2018,Working towards a Meaningful Transition of Human Control over Automated Driving Systems,2018,retain-close,"The paper models transitions of human control across automation levels and identifies out-of-the-loop and behavioral-adaptation risks, directly addressing practical control over time.",title_abstract_and_full_text_route,https://repository.tudelft.nl/file/File_a30c8388-7bbc-45e3-bb15-56a93280d191?preview=1,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-063,doi:10.1080/08874417.2025.2600955,Socio-Technical Machine Learning - Putting the User in Control,2026,retain-background,"The empirical design study lets nontechnical users shape early machine-learning design, informing upstream user control without testing runtime intervention or incident evidence.",title_and_abstract,https://doi.org/10.1080/08874417.2025.2600955,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-064,doi:10.1007/s00146-025-02588-0,"Dignity, conflict proliferation and responsibility: how not to argue against autonomous weapon systems",2025,retain-background,"The article analyzes dignity, conflict, and responsibility arguments about autonomous weapons, informing responsibility boundaries without a practical-control test.",title_and_abstract,https://doi.org/10.1007/s00146-025-02588-0,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-065,title:attitudes towards road safety and aberrant behaviour of drivers in pakistan|year:2012,Attitudes towards road safety and aberrant behaviour of drivers in Pakistan,2012,exclude-topic,The dissertation studies driver attitudes and aberrant road behavior and does not assess human control over automation or incident evidence.,title_abstract_and_full_text_route,https://etheses.whiterose.ac.uk/id/eprint/6765/1/589055.pdf,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-069,doi:10.7562/se2017.7.02.06,USING ABSOLUTE PROBABILITY JUDGEMENT METHOD FOR HUMAN RELIABILITY ASSESSMENT - A CASE STUDY,2017,retain-background,"The case study applies structured absolute-probability judgment to human reliability, offering an assessor-method comparison without a practical-control chain.",title_abstract_and_full_text_route,https://doi.org/10.7562/se2017.7.02.06,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-070,doi:10.2139/ssrn.4772956,Governing AI Agents,2024,retain-close,"The article uses principal-agent theory and agency law to analyze delegated authority, information asymmetry, monitoring, and enforcement limits for AI agents, directly addressing practical governance control.",title_abstract_and_full_text_route,https://doi.org/10.2139/ssrn.4772956,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-071,doi:10.1080/10803548.2006.11076690,Driver Celeration Behavior and the Prediction of Traffic Accidents,2006,exclude-topic,The traffic study predicts accidents from driver celeration behavior and supplies no automation-control or evidence-adjudication procedure.,title_and_abstract,https://doi.org/10.1080/10803548.2006.11076690,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-072,title:a case study on how the approach to human error guides the incident reporting among nurses in a hospital setting|year:2014,A case study on how the approach to human error guides the incident reporting among nurses in a hospital setting,2014,retain-background,"The nursing case study examines how conceptions of human error shape incident reporting, informing evidence availability and blame-sensitive reporting behavior.",title_and_abstract,https://www.lunduniversity.lu.se/lup/publication/4318225,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-073,doi:10.1080/1463922x.2017.1414333,"Where are we on driver distraction? Methods, approaches and recommendations",2017,retain-background,"The review maps driver-distraction methods and mechanisms, supplying human-factors context for attention and opportunity without a practical-control assessment.",title_and_abstract,https://doi.org/10.1080/1463922x.2017.1414333,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-075,doi:10.1093/bjsw/bcw101,Partnership with Parents in Child Protection: A Systems Approach to Evaluate Reformative Developments in Israel,2017,exclude-topic,The article evaluates child-protection partnerships through a systems approach and does not address automated control or incident evidence.,title_and_abstract,https://doi.org/10.1093/bjsw/bcw101,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
RS-FC-077,title:ai control and unintended consequences the need for meta values|year:,"AI, Control and Unintended Consequences: The Need for Meta-Values",,retain-background,"The chapter examines AI control and unintended consequences through meta-values, supplying normative control context without an operational evidence chain.",title_abstract_and_full_text_route,https://pure.tudelft.nl/ws/portalfiles/portal/151937788/2023_ai_control_meta_values.pdf,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-until-proposition-review
RS-FC-078,doi:10.1080/10447318.2026.2687131,Maintain Preference for Autonomous System or Human-Controlled System? The Influence of Trust Conflict and Algorithm Aversion,2026,exclude-single-component,The study measures preference under trust conflict and algorithm aversion; perceived preference does not establish actual intervention capacity or effect.,title_and_abstract,https://doi.org/10.1080/10447318.2026.2687131,Mark Julius Banasihan,2026-08-11,AI-assisted source-content inspection and screening under author authorization; Mark Julius Banasihan retains decision accountability.,author-authorized-ai-assisted-screening-complete,none-excluded
